Title,Price,Location_Category,Link,Brand,Model,Condition,RAM,Storage,Description
Acer Chromebook Laptop,"Rs 30,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-chromebook-laptop-for-sale-colombo,,,,Unknown,16 STORAGE,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Acer Chromebook Laptop💻🤗1.8Ghz  Processor🔸16GB  Storage  දැන්ම අමතන්න -තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Lenovo i7 11thGen Thinkpad T14s 32GB RAM 14 inch FHD IPS Laptop,"Rs 139,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i7-11thgen-thinkpad-t14s-32gb-ram-14-inch-fhd-ips-laptop-for-sale-colombo,,,,32GB,256 NVME,"💻 වසර 05 කට වැඩි අත්දැකීම් සහ දිගු වගකීමක් සමඟ, ලංකාවේ අඩුම මිලට හොඳම දේ onestore.lk වෙතින්..♻️Lowest price with warranty ✅🌇 100% Condition 🤝✳️ Rs.139,500/- Only💥🤝 💻 Lenovo ThinkPad T14s Gen 2Powerful Business Laptop – Lightweight, Durable & Fast⚡ PerformanceIntel Core i7-1185G7 (11th Gen)Up to 4.80GHz Turbo Speed4 Cores | 8 Threads | 12MB CacheIntel Iris Xe Graphics (Shared 16GB)🖥 Display14” Full HD IPS – Optional1920 × 1080 ResolutionClear, Anti-glare Panel🚀 Memory & Storage32GB DDR4 RAM256GB NVMe SSD (Fast Boot & Load)🔋 Battery50Wh Battery2–4 Hours Usage (Depends on Workload)🔌 Connectivity2 × USB 3.22 × USB-C (Thunderbolt 4)HDMI 2.0RJ-45 EthernetMicroSD + Audio Jack📡 WirelessWi-Fi 6Bluetooth 5.2🎧 MultimediaDual Speakers (Dolby Audio)720p HD Camera + Privacy ShutterDual Microphones🔐 Additional Key FuturesTPM 2.0Finger printFace Unlock💻 OS SupportWindows 10 / 11Linux Compatible💰 Price & WarrantyRs. 139,500/-✅ 3 Months Hardware Warranty✅ 2 Years Service WarrantyExchange possible (with laptops only) ✅🔺 ලංකාවේ ඕනෑම තැනකට පැය 24ක් ඇතුළත Cash on Delivery බෙදාහැරීම 100% විශ්වාසය හා ආරක්ෂාව සමඟ සිදු කරයි.🔺ISLAND WIDE Cash on Delivery ACCEPT WITHIN ONE DAY  🔜🚛📦🚚 ✅📦Visit our Website For More Products - onestore.lkVisit our Showroom Location : No 420,4th Floor Jana Jaya City Center RajagiriyaNear The Rajagiriya Flyover show this ad when visiting our showroom to purchase this laptop at this price.මෙම ලැප්ටොප් එක මිලදී ගැනීමට අපගේ ප්‍රදර්ශනාගාරයට පැමිණීමේදී මෙම මිලට ලබා ගැනීමට මෙම දැන්වීම පෙන්වන්න.Open Hours:Weekdays 9.00 am - 6.30PMWeekend 10.00 am - 7.30PMPoya Day 10.00 am - 6.30PM"
Acer Aspire A515 Core i3 Laptop,"Rs 53,000","Kalutara, Computers & Tablets",https://ikman.lk/en/ad/acer-aspire-a515-core-i3-laptop-for-sale-for-sale-kalutara,,,,Unknown,1 HDD,"Acer Aspire Laptop for Sale 🔹​Model: Acer Aspire A515-56 🔹​Processor: Intel Core i3 11th Gen (i3-1115G4 @ 3.00GHz) 🔹​RAM: 4GB 🔹​Storage: 1TB HDD (Toshiba) 🔹​Display: 15.6"" Full HD (1080p) ​Condition Notes: 🔹​Needs Windows OS installation (""No bootable device"" error). 🔹​Battery needs to be replaced (works directly with charger) 🔹Physical condition 100% 💰 Price – Rs. 53,000 (Negotiable) 📍 Location: Kalutara / Matugama 📩 Genuine buyers, please DM for more details. Whatsapp Buyer can check the laptop before purchasing."
Acer i3 8th GEN Laptop,"Rs 40,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-i3-8th-gen-laptop-for-sale-colombo-2,,,,Unknown,1 HDD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Acer Aspire i3 8th Gen Laptop💻🤗1.8Ghz  Processor🔸4GB  DDR3 Ram 🔸1TB HDDදැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-9,,,,Unknown,1 HDD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Dell Celeron Laptop💻🤗1.8Ghz  Processor🔸4GB  DDR3 Ram 🔸1TB HDDදැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Gamdias Aether P1 Pro RGB Laptop Cooling Pad,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/gamdias-aether-p1-pro-rgb-laptop-cooling-pad-for-sale-colombo-5,,Unknown,,Unknown,Unknown,"❄️ AETHER P1 PRO Laptop Cooling Pad ❄️Key Specifications❄️ Model – AETHER P1 PRO❄️ Compatibility – Supports 12""–19"" Laptops❄️ Cooling Fan – 120 × 120 × 27 mm High-Performance Fan❄️ Fan Speed – 800–2600 RPM❄️ Air Flow – 45.3 CFM❄️ Noise Level – 48 dBA❄️ Height Adjustment – 3 Adjustable Levels❄️ Display – LCD Control Panel❄️ RGB Lighting – 6 Lighting Modes❄️ USB Port – 1 × USB Type-C❄️ Material – Durable ABS Plastic❄️ Power – 5V / 4.5W (0.9A)❄️ Dimensions – 416 × 309 × 64 mm📦 Package Includes❄️ AETHER P1 PRO Cooling Pad❄️ USB Type-C to Type-C Cable❄️ User Manual🛡️ 1 Year Warranty😒පැමිණීමට ප්‍රතම අවශ්‍ය අයිතම තොග තිබේදැයි විමසා බලා පැමිණීමට කාරුණික වන්න📞වැඩි විස්තර සඳහා උදෑසන 9.00 -සිට ප.ව 6.30 අතර අපව අමතන්න🏢Visit Our Shop at Max Core PC, No.58, Saranapala Rd, Piliyandala ( Opposite to Piliyandala Ruupasinghe (PVT) Ltd )🤩🤩🤩🤩🤩"
HP Envy ×360 2-in-1 Laptop 14-es0xxx,"Rs 157,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-envy-x360-2-in-1-laptop-14-es0xxx-for-sale-colombo,,,,Unknown,1 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸13th Gen Intel®️Core™️ i7-1355U(1.70GHz)🔸16GB  DDR4 Ram 🔸1TB SSD/Nvme🔸Touch Screen 🔄 360°දැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Asus i7 12th Gen Laptop,"Rs 122,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-i7-12th-gen-laptop-for-sale-colombo,,,,Unknown,512 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸12th Gen Intel®️Core™️ i7-1260P(2.10GHz)🔸12GB  DDR4 Ram 🔸512GB SSD/Nvmeදැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Dell Latitude 3440 i3 4th Gen Laptop,"Rs 33,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-3440-i3-4th-gen-for-sale-kandy,,,,4GB,Unknown,🙂 හොදට වැඩකරනවා ( working good )I3 4th gen ❤️4gb ram 🙂256 ssd 🧡2H Battery Life 🔋with Charger 😎
HP Chromebook Laptop,"Rs 20,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-chromebook-laptop-for-sale-colombo-73,,,,Unknown,16 STORAGE,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Hp Chromebook Laptop💻🔸16GB  Storage දැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Laptop / Desktop Full Service,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-desktop-full-service-for-sale-gampaha-1,,Unknown,,Unknown,Unknown,"💻 **DESKTOP / LAPTOP FULL SERVICE | COMZONEX** 🔧⚡ **COMPLETE COMPUTER & LAPTOP SERVICE FOR ALL YOUR NEEDS!**🖥️ Desktop PCs | 💻 Laptops | 🛠️ Hardware | 💿 Software | ⚙️ Upgrades | 🧹 Cleaning━━━━━━━━━━━━━━━━━━━🔥 **PROFESSIONAL COMPUTER SERVICE**🔹 **Desktop & Laptop Full Service**🔹 Hardware & Software Troubleshooting🔹 Internal Cleaning & Maintenance🔹 Windows Installation & Setup🔹 Driver & Software Installation🔹 SSD / HDD Upgrades🔹 RAM Upgrades🔹 Virus & Performance Issues🔹 Laptop Keyboard & Battery Replacement🔹 Data Backup & Transfer🔹 General Repairs & Maintenance━━━━━━━━━━━━━━━━━━━✨ **OUR SERVICE INCLUDES**✅ Desktop PC Servicing✅ Laptop Servicing✅ System Cleaning✅ Thermal Paste Replacement✅ Windows & Driver Installation✅ SSD / HDD Installation✅ RAM Upgrades✅ Software Installation✅ Performance Optimization✅ Hardware Diagnostics✅ Troubleshooting & Repairs━━━━━━━━━━━━━━━━━━━🎯 **IDEAL FOR**✔ Home Users✔ Students✔ Office Computers✔ Business PCs✔ Gaming PCs✔ Laptops✔ POS Systems✔ General Computer Maintenance━━━━━━━━━━━━━━━━━━━🎁 **WHY CHOOSE COMZONEX?**✔ Experienced Technical Support✔ Professional Service✔ Genuine & Quality Parts Available✔ Hardware & Software Solutions✔ Upgrade Recommendations✔ Friendly After-Sales Support━━━━━━━━━━━━━━━━━━━🔴 **SPECIAL NOTE | විශේෂ සටහන**• Service charges may vary depending on the issue and required service.• Parts replacement charges are separate where applicable.• Please contact us for a service quotation and availability.━━━━━━━━━━━━━━━━━━━📍 **ComZonex – Ja-Ela**🏢 Shop L2-47, Realty Plaza Shopping Complex📍 Near Cinemax Cinema Hall, Ja-Ela📞 **Call / WhatsApp Today for Computer & Laptop Service!**"
LAPTOP & DESKTOP REPAIR SERVICE,Rs 0,"Gampaha, Computer Accessories",https://ikman.lk/en/ad/laptop-and-desktop-repair-service-for-sale-gampaha-1,,Unknown,,Unknown,Unknown,"💻 **LAPTOP & DESKTOP REPAIR SERVICE | COMZONEX** 🔧⚡ **RELIABLE LAPTOP & DESKTOP REPAIRS FOR HOME & BUSINESS!**💻 Laptops | 🖥️ Desktop PCs | 🔧 Hardware Repairs | ⚙️ Upgrades | 🛠️ Troubleshooting━━━━━━━━━━━━━━━━━━━🔥 **PROFESSIONAL REPAIR SERVICE**🔹 Laptop & Desktop Repair🔹 Hardware & Software Troubleshooting🔹 Windows & Software Issues🔹 Laptop Screen Replacement🔹 Keyboard & Touchpad Issues🔹 Laptop Charging & Power Issues🔹 HDD / SSD Replacement🔹 RAM Replacement & Upgrades🔹 Overheating & Performance Issues🔹 Virus & System Issues🔹 PC Upgrade & Maintenance━━━━━━━━━━━━━━━━━━━✨ **COMMON ISSUES WE REPAIR**✅ Laptop Not Turning On✅ Desktop Not Booting✅ Slow Performance✅ Overheating Issues✅ Blue Screen / Windows Errors✅ Charging Problems✅ Display / Screen Problems✅ Keyboard & Touchpad Problems✅ HDD / SSD Problems✅ RAM & Hardware Issues✅ Software & Driver Problems━━━━━━━━━━━━━━━━━━━🎯 **SUITABLE FOR**✔ Home Users✔ Students✔ Office Computers✔ Business PCs✔ Gaming PCs✔ Laptops✔ Desktop Computers━━━━━━━━━━━━━━━━━━━🎁 **WHY CHOOSE COMZONEX?**✔ Professional Technical Support✔ Hardware & Software Solutions✔ Quality Replacement Parts Available✔ Upgrade & Repair Solutions✔ Proper Diagnosis Before Repair✔ Friendly After-Sales Support━━━━━━━━━━━━━━━━━━━🔴 **SPECIAL NOTE | විශේෂ සටහන**• Repair charges depend on the issue and required service.• Replacement parts are charged separately where applicable.• Please contact us for a diagnosis and service quotation.━━━━━━━━━━━━━━━━━━━📍 **ComZonex – Ja-Ela**🏢 Shop L2-47, Realty Plaza Shopping Complex📍 Near Cinemax Cinema Hall, Ja-Ela📞 **Call / WhatsApp Today for Laptop & Desktop Repairs!**"
HP Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-for-sale-colombo-4133,,,,Unknown,120 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Hp AMD Ryzen 3 Laptop💻🤗1.8Ghz  Processor🔸4GB  DDR4 Ram 🔸120GB SSDදැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-68,,,,Unknown,256 SSD,"ඔබගේ පරිගණක සිහිනය සැබෑ කර ගැනීමට වසර 20 කාලයක් පමණ විශ්වාසනීය සේවාවක් සපයන අපව තෝරා ගැනීම සම්බන්දයෙන් ඔබට ස්තුතීයි !SPECIAL DISCOUNT FOR WHOLE SALE DEALERS—————————————————————CHECKING WARRANTY FOR ALL LAPTOPS—————————————————————🔸Asus Vivobook i3 13th Gen Laptop💻🤗1.8Ghz  Processor🔸8GB  DDR4 Ram 🔸256GB SSD/Nvme මිල ගණන් සාකච්ඡා කර ගත හැක...▪️වසර 10 ක් අප හා රැදී සිටී පාරිභෝගික ඔබ අපගේ මෙම සේවාවන් කඩිනමින් ලබගන්න                   👉👉delivery can be arrange ▪️තරගකාරී මිල ගනන් යටතේ හොදම දේ  අඩුම මිලට ඔබට ලභාදීමට ws rupasinghe වන අප නිරන්තරයෙන් කැපවෙමු.▪️ඔබ WS Rupasinghe facebook පිටවෙහි සාමාජිකයකු නම් පරිගණක මිලදී ගැනීමෙිදී සුවිශේෂී   වට්ටම් ලාභා ගත හැක▪️Thank you for contact us. join With our face book page. Like 👍 and share  😍▪️WS Rupasinge pvt Ltd 457,Galle Road Ratmalana."
Dell i3 11th GEN Laptop,"Rs 57,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-432,,,,Unknown,256 SSD,"ඔබගේ පරිගණක සිහිනය සැබෑ කර ගැනීමට වසර 20 කාලයක් පමණ විශ්වාසනීය සේවාවක් සපයන අපව තෝරා ගැනීම සම්බන්දයෙන් ඔබට ස්තුතීයි !SPECIAL DISCOUNT FOR WHOLE SALE DEALERS—————————————————————CHECKING WARRANTY FOR ALL LAPTOPS—————————————————————🔸Dell i3 11th Gen Laptop💻🤗1.8Ghz  Processor🔸4GB  DDR4 Ram 🔸256GB SSD/Nvme මිල ගණන් සාකච්ඡා කර ගත හැක...▪️වසර 10 ක් අප හා රැදී සිටී පාරිභෝගික ඔබ අපගේ මෙම සේවාවන් කඩිනමින් ලබගන්න                   👉👉delivery can be arrange ▪️තරගකාරී මිල ගනන් යටතේ හොදම දේ  අඩුම මිලට ඔබට ලභාදීමට ws rupasinghe වන අප නිරන්තරයෙන් කැපවෙමු.▪️ඔබ WS Rupasinghe facebook පිටවෙහි සාමාජිකයකු නම් පරිගණක මිලදී ගැනීමෙිදී සුවිශේෂී   වට්ටම් ලාභා ගත හැක▪️Thank you for contact us. join With our face book page. Like 👍 and share  😍▪️WS Rupasinge pvt Ltd 457,Galle Road Ratmalana."
8GB DDR4 RAM LAPTOP,"Rs 12,500","Colombo, Computer Accessories",https://ikman.lk/en/ad/8gb-ddr4-ram-laptop-for-sale-colombo-1,,Unknown,,Unknown,Unknown,"👍වසර 17 විශ්වාසනීය සේවාවක් සමඟින් අඩුම මිලට උපාංග මිලදී ගැනීමට අප හා එක්වන්න.🎉අපිව ඉහළින් ඔසවා තැබු Ikman.lk පාරිභෝගිකයන් හට සැමවිට උසස්ම සේවාවක් ලබාදීමට අප කටයුතු කරන බව ප්‍රකාශ කර සිටිමු.📣විනිමය අනුපාත හා වෙළඳපල තත්වයන් මත මිල ගනන් වෙනස් විය හැකි බව කරුණාවෙන් සලකන්න..📣😍දැන් Koko Payment හරහා වාරික 3කින් ගෙවීමේ ක්‍රමයට අපෙන් උපාංග මිල දී ගැනීමේ හැකියාව තිබේ😍🌹 Cash on Delivery Available 🌹🌍 Visit: www.vistacomputer.lk 🌍-----------------------------------------------------------------------------------------------------✅ Capacity: 8GB – Great for multitasking and speed✅ Type: DDR4 – Faster performance, lower power use✅ Condition: Used – Fully tested and in excellent working order✅ Compatibility: Works with most DDR4 laptops 🖥️📍 Available at Vista Computer, Pannipitiya📞 Call now and upgrade your laptop at a budget-friendly price!🔥 Affordable performance boost for your laptop! 🚀-----------------------------------------------------------------------------------------------------🔰 🔰 පන්නිපිටිය ධර්මපාල විද්‍යාලය අසල.(OPEN - 9.00AM TO 6.00PM)(Stores Piliyandala)🚖🚖🚖🚖 ISLAND WILD COURIER SERVICES AVAILABLE🔴🔴VISIT OUR MEMBER PAGE FOR MORE DEALS🔴🔴.මෙම ආයතනයේ අනෙකුත් භාණ්ඩ පරීක්ෂා කිරීම සඳහා “Vista Computer” මත ක්ලික් කරන්න.TO VIEW SELLER’S OTHER ITEMS, CLICK ON “Vista Computer”---------------------------------------------------------------------------------------------------IKMAN පාරිභෝගිකයන් හට මෙම විශේෂ මිල ගණන් යටතේ භාණ්ඩ මිලදී ගැනීම සඳහා,භාණ්ඩයට අදාළ POST එක ඉදිරිපත් කළ යුතු අතර එසේ නොමැතිව  මහත්ම මහත්මීන් හට ආයතනයේ සාමාන්‍ය මිල ගණන් යටතේ භාණ්ඩ විකිණීම සිදු කරන බව කාරුනිකව දන්වා සිටිමු --------------------------------------------------------------------------------------------------"
Dell Celeron Laptop,"Rs 35,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-celeron-laptop-for-sale-colombo-7,,,,Unknown,500 HDD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Dell Celeron Laptop💻🤗1.8Ghz  Processor🔸4GB  DDR3 Ram 🔸500GB HDDදැන්ම අමතන්න -තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
HP AMD Ryzen 3 Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-amd-ryzen-3-laptop-for-sale-colombo-5,,,,Unknown,120 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Hp AMD Ryzen 3 Laptop 💻🤗1.8Ghz  Processor🔸4GB  DDR4 Ram 🔸120GB SSDදැන්ම අමතන්න - තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Dell i3 11th GEN Laptop,"Rs 56,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-383,,,,Unknown,256 SSD,"ඔබගේ පරිගණක සිහිනය සැබෑ කර ගැනීමට වසර 20 කාලයක් පමණ විශ්වාසනීය සේවාවක් සපයන අපව තෝරා ගැනීම සම්බන්දයෙන් ඔබට ස්තුතීයි !SPECIAL DISCOUNT FOR WHOLE SALE DEALERS—————————————————————CHECKING WARRANTY FOR ALL LAPTOPS—————————————————————🔸Dell i3 11th Gen Laptop💻🤗1.8Ghz  Processor🔸8GB  DDR4 Ram 🔸256GB SSD/Nvme මිල ගණන් සාකච්ඡා කර ගත හැක...▪️වසර 10 ක් අප හා රැදී සිටී පාරිභෝගික ඔබ අපගේ මෙම සේවාවන් කඩිනමින් ලබගන්න                   👉👉delivery can be arrange ▪️තරගකාරී මිල ගනන් යටතේ හොදම දේ  අඩුම මිලට ඔබට ලභාදීමට ws rupasinghe වන අප නිරන්තරයෙන් කැපවෙමු.▪️ඔබ WS Rupasinghe facebook පිටවෙහි සාමාජිකයකු නම් පරිගණක මිලදී ගැනීමෙිදී සුවිශේෂී   වට්ටම් ලාභා ගත හැක▪️Thank you for contact us. join With our face book page. Like 👍 and share  😍▪️WS Rupasinge pvt Ltd 457,Galle Road Ratmalana."
Acer Laptop,"Rs 118,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-laptop-for-sale-colombo-1462,,,,Unknown,512 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸12th Gen Intel®️ core ™️ i5 1235U (1.30GHz) Laptop💻🤗1.8Ghz  Processor🔸8GB  DDR4 Ram 🔸512GB SSD/Nvmeදැන්ම අමතන්න තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Asus Vivobook Laptop X1502ZA,"Rs 120,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-laptop-x1502za-for-sale-colombo-1,,,,Unknown,512 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸12th Gen Intel®️Core™️ i7-1260P(2.10GHz)🔸12GB  DDR4 Ram 🔸512GB SSD/Nvmeදැන්ම අමතන්න -  තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Laptop,"Rs 68,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/urgent-laptop-for-sale-for-sale-gampaha,,,,Unknown,Unknown,ඉතාමත් හොද තත්වයේ තියෙනවා. NVEDIA external VGA එකක් තියෙනවා. වැඩක් ගන්න කෙනෙක්ට වටිනවා. Games ගහනවන්ම් SSD එකක් ගහගන්න ඕනේ. විස්තර ඔක්කොම photos වල දාලා තියෙන්නෙ. බලලා ගන්න පුලුවන්. ගානේ පොඩි වෙනසක් කරල දෙන්නම්
Dell i3 11th GEN Laptop,"Rs 58,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-11th-gen-laptop-for-sale-colombo-441,,,,Unknown,256 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Dell i3 11th Gen Laptop 💻🤗1.8Ghz  Processor🔸4GB  DDR4 Ram 🔸256GB SSD/Nvmeදැන්ම අමතන්න තොග සීමිතයි.‼️‼️🔸නො. 457, ගාලුපාර, රත්මලාන."
Asus Vivobook i3 13th GEN Laptop,"Rs 85,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-i3-13th-gen-laptop-for-sale-colombo-84,,,,Unknown,512 SSD,"හතලිස් පස් වසරක අනගි සේවාවක් ලබා දුන් අපගේ W.S රූපසිංහ ආයතනය මගින් ලංකාවේ අඩුම මිලට නවතම මාදිලියේ පරිගණක ඔබට අපගෙන් ලබා ගත හැක.පහත සදහන් දුරකථන අංකයට Whatsapp msg එකක්  හෝ ඇමතුමක් ලබා දී ඔබගේ පරිගණක සිහිනය සැබෑ කරගන්න.... 🔸Asus Vivobook i3 13th Gen Laptop 💻🤗1.8Ghz  Processor🔸8GB  DDR4 Ram 🔸512GB SSD/Nvme දැන්ම අමතන්න තොග සීමිතයි.‼️‼️Contact for more details 🔸නො. 457, ගාලුපාර, රත්මලාන."
