brand,model,condition,currency,dual_sim,has_5g,has_esim,warranty_days,storage_gb,ram_gb,battery_health_percent,listed_price,phone_type,model_tier,brand_tier,phone_age_years,is_flagship
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,170000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,177500.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,179500.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,169500.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,185000.0,iphone,8,3,4.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,189500.0,iphone,8,3,2.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,176000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,153500.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,174999.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,187000.0,iphone,8,3,2.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,198500.0,iphone,8,3,2.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,198500.0,iphone,9,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,233000.0,iphone,9,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,194990.0,iphone,8,3,2.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,152500.0,iphone,8,3,5.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,152500.0,iphone,8,3,5.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,185000.0,iphone,9,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,174990.0,iphone,9,3,4.0,1
Apple,iPhone 16 Plus,used,LKR,1,1,1,0.0,128.0,8.0,,215500.0,iphone,8,3,2.0,1
Apple,iPhone 16 Plus,used,LKR,1,1,1,0.0,128.0,8.0,,215500.0,iphone,8,3,2.0,1
Apple,iPhone 16 Plus,used,LKR,1,1,1,0.0,128.0,8.0,,215500.0,iphone,8,3,2.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,204999.0,iphone,9,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,164999.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,189999.0,iphone,8,3,2.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,164990.0,iphone,8,3,4.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,229000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,169990.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,8,3,2.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,159000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,188000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,200100.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,160000.0,iphone,8,3,4.0,1
Apple,iPhone 16 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,240100.0,iphone,9,3,2.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,179990.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,190000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,199999.0,iphone,9,3,4.0,1
Apple,iPhone 16 Plus,used,LKR,1,1,1,0.0,128.0,8.0,,204750.0,iphone,8,3,2.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,156000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,168500.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,190000.0,iphone,8,3,2.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,239000.0,iphone,9,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,168990.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,165000.0,iphone,9,3,4.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,159000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,164000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,214990.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,151900.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,151900.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,151900.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,151900.0,iphone,8,3,4.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,189900.0,iphone,8,3,2.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,189900.0,iphone,8,3,2.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,162000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,224900.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,249990.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,184900.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,229900.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,184900.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,512.0,6.0,,185900.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,162900.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,210990.0,iphone,9,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,159990.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,227000.0,iphone,9,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,165000.0,iphone,8,3,3.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,172999.0,iphone,8,3,5.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,179999.0,iphone,8,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,189999.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,256.0,8.0,,228000.0,iphone,8,3,2.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,164999.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,249900.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,231999.0,iphone,9,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,211999.0,iphone,9,3,4.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,249900.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,199999.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,204999.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,179999.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,512.0,6.0,,180000.0,iphone,8,3,3.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,512.0,6.0,,192999.0,iphone,8,3,5.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,159990.0,iphone,9,3,4.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,182999.0,iphone,8,3,5.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,249900.0,iphone,9,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,164900.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,250000.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,1024.0,6.0,,190000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,224990.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,231990.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,189490.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,239900.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,212900.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,177900.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,162900.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,185000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,177000.0,iphone,9,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,159999.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,229000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,188000.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,159000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,169000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,179000.0,iphone,8,3,4.0,1
Apple,iPhone 16 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,230000.0,iphone,9,3,2.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,225000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,243000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,244998.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,219998.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,188000.0,iphone,9,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,155998.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,210000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,170000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,186000.0,iphone,8,3,2.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,184000.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,182000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,170000.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,157000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,160000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,184999.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,155000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,195000.0,iphone,9,3,4.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,168000.0,iphone,8,3,3.0,1
Apple,iPhone 16 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,249000.0,iphone,9,3,2.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,170000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,179900.0,iphone,8,3,4.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,184900.0,iphone,8,3,2.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,204999.0,iphone,9,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,188000.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,229000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,159000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,165000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,225900.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,249900.0,iphone,9,3,3.0,1
Apple,iPhone 16 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,235000.0,iphone,9,3,2.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,174900.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,188000.0,iphone,8,3,2.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,512.0,8.0,,232000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,215000.0,iphone,9,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,256.0,8.0,,214000.0,iphone,8,3,2.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,159900.0,iphone,9,3,4.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,160000.0,iphone,9,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,152990.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,188000.0,iphone,9,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,168999.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,164990.0,iphone,8,3,4.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,179900.0,iphone,8,3,4.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,164999.0,iphone,8,3,3.0,1
Apple,iPhone 16,used,LKR,1,1,1,0.0,128.0,8.0,,185500.0,iphone,8,3,2.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,176000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,512.0,6.0,,197500.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,169500.0,iphone,8,3,3.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,170000.0,iphone,8,3,5.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,170100.0,iphone,8,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,150900.0,iphone,8,3,3.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,128.0,6.0,,154990.0,iphone,8,3,3.0,1
Apple,iPhone 15 Pro Max,used,LKR,1,1,1,0.0,256.0,8.0,,240000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,170000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,128.0,8.0,,170000.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,205999.0,iphone,9,3,3.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,203999.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,198999.0,iphone,9,3,4.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,256.0,6.0,,195000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro Max,used,LKR,1,1,1,0.0,256.0,6.0,,198999.0,iphone,9,3,4.0,1
Apple,iPhone 15,used,LKR,1,1,1,0.0,256.0,6.0,,179000.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 15 Pro,used,LKR,1,1,1,0.0,256.0,8.0,,224900.0,iphone,9,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,128.0,6.0,,175000.0,iphone,8,3,4.0,1
Apple,iPhone 13 Pro Max,used,LKR,1,1,1,0.0,128.0,6.0,,172999.0,iphone,8,3,5.0,1
Apple,iPhone 15 Plus,used,LKR,1,1,1,0.0,128.0,6.0,,179999.0,iphone,8,3,3.0,1
Apple,iPhone 14 Pro,used,LKR,1,1,1,0.0,256.0,6.0,,189000.0,iphone,8,3,4.0,1
