Brand,Vehicle_Type,Title,Fuel Type,Engine (cc),Condition,Gear,Price,Location,Mileage,Options,More_Details,Listing_URL
Toyota,SUV,Toyota Rush 2018 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 12,000,000",Kandana,"71,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Rush 2018 carefully home used SUV for sale 
Push start 
7 seater 
Black & nickel alloys with new tyres 
Black leather interior 
Multifunction steering with sound control 
TV DVD R-Camara with sound system ( all the options are factory fitted ) 
Genuine low mileage done only 71,000km 
All records available including emissions test reports 
100% accident free",https://riyasewana.com/buy/toyota-rush-sale-kandana-11660485
Mitsubishi,SUV,Mitsubishi Montero 2000 SUV (Used),Petrol,3500,Registered (Used),Automatic,"Rs. 10,800,000",Gampaha,0 km,"[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","මොන්ටෙරෝ V75 (Montero V75) වාහන විස්තරය
තත්ත්වය: 100% ක්ම ඔරිජිනල් (Genuine)

නිෂ්පාදිත වර්ෂය: 2000

ලියාපදිංචි වර්ෂය: 2003

ඉන්ධන වර්ගය: පැට්‍රල් (Petrol)

ඇන්ජිම: V75 ඇන්ජිම / ධාරිතාව 3500cc

ගියර් පද්ධතිය: ඔටෝමැටික් සහ ට්‍රිප්ටොනික් (Automatic & Triptonic)

ධාවන පද්ධතිය: 4WD (හතර රෝද ධාවනය)

පහසුකම්:

ලයින් ඒසී / ඩුවල් ඒසී (Line AC / Dual AC)

ඇන්ඩ්‍රොයිඩ් ප්ලේයර් (Android Player)

භාවිතය: පෞද්ගලිකව භාවිතා කරන ලද (Personal used)

ලේඛන: සියලුම බදු වාර්තා සහ ලියකියවිලි නිරවුල්ව ඇත (All tax papers & Every documents clear)

මිල ගණන් විස්තරය
මුළු මුදල: රුපියල් 10,800,000 (ලක්ෂ 108 කි)

මූලික ගෙවීම (Down Payment): රුපියල් 2,400,000 (ලක්ෂ 24 කි)

0743797092",https://riyasewana.com/buy/mitsubishi-montero-sale-gampaha-11662705
Toyota,SUV,Toyota Yaris Cross 2024 SUV Unregistered (Recondition),Hybrid,1500,Unregistered (Recondition),Automatic,"Rs. 15,800,000",Tangalle,"13,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Available in sri lanka 🚘👍
Yaris Cross G Grade 2024

✅Grade: G
✅Auction Grade: 5
✅Engine: 1500 CC
✅Color: White 
✅Mileage : 13000km

👉 100,000km or 2 Years engine & Gearbox warranty
👉 3 free service

🔜 more details Please Call Us: 0768842201  0716822201",https://riyasewana.com/buy/toyota-yaris-cross-sale-tangalle-11646863
Toyota,SUV,Toyota Land Cruiser Prado 150 2015 SUV (Used),Diesel,3000,Registered (Used),Automatic,Negotiable,Horana,"118,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","YOM - 2015
Original Diesel 
Automatic
Beige interior 
Sunroof 
Dual Multifunction
Line AC 
7 seater
Original paint 
All service records and emission test records  available
Registered owner  
Immaculate condition",https://riyasewana.com/buy/toyota-land-cruiser-sale-horana-11592345
Honda,SUV,Honda Vezel 2015 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 11,000,000",Mawanella,"92,000 km",[],"Honda Vezel 2015
CAG
Z Grade (Highest Garde). 
Orange Package Gold Badge.
2nd owner
Low mileage  
Records available. 
100% Genuine Home used SUV.

Well maintained, in good condition.
Cruise control. 
Keyless entry. 
Paddle shifters. 
Safety breaks.
8 air bags. 
Dual Clutch Replaced with Gear Box
New A/C compressor and condenser with warranty.
New Battery with warranty 

*TOP CONDITION*",https://riyasewana.com/buy/honda-vezel-sale-mawanella-11663972
Honda,SUV,Honda CRV VTECed 2024 SUV (Used),Petrol,-,Registered (Used),Automatic,Negotiable,Colombo,"32,000 km",[],"Honda CRV (VTEC Turbo) 7 Seater 

- REGISTERED ! 

- Full Options 
- 2024 Manufactured 
- 7 Seater 

- 1.5 Liter 
- Straight Petrol 
- In Mint Condition 

- Radiant Red Metallic (Premium) 
- Black Interior 
- Keyless Entry 
- Push Start 
- Multifunction Steering 
- Paddle Shift 
- Adaptive Cruise Control 
- Lane Keep Assist 
- Auto Brake Assist 
- Park Assist 
- Seat Heaters 
- Automatic Climate Control 
- Dual Zone Climate Control 
- Sliding Glass Sunroof 
- Panoramic Moonroof 
- Electric Memory Seats 
- Premium Leather Seats 
- Multimedia System 
- Premium Sound System 
- LED Headlamps 
- LED DRL’s 
- LED Taillights 
- Electric Tailgate 
- 18” Alloy wheels and many more 

- for inquiries +94777972897 | +94777289697",https://riyasewana.com/buy/honda-crv-vteced-sale-colombo-11663958
Toyota,SUV,Toyota Raize Lanka Imported 2025 SUV (Used),Petrol,1000,Registered (Used),Automatic,Negotiable,Colombo,"1,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota RAIZE 2025 (TOYOTA LANKA IMPORTED)

- REGISTERED !

- Toyota Lanka Imported 
- 3 Years/100,000km Warranty 
- 2 Free Service 

- 1 Liter Turbo 
- In Brand New Condition 
- Just 1,000km driven 

- Red and Black Exterior 
- Black Interior 
- Keyless Entry 
- Push Start 
- Multifunction Steering 
- Paddle Shift 
- Retractable Mirrors 
- Digital Cockpit 
- 360 Park Assist 
- Stability Control 
- Multimedia System 
- Surrounded Sound System 
- Automatic Climate Control 
- LED Headlights 
- LED DRL’s
- LED Taillights 
- 17” Alloy Wheels and many more 

- for inquiries +94777972897 | +94777289697",https://riyasewana.com/buy/toyota-raize-lanka-sale-colombo-11663950
Kia,SUV,Kia Sonet GTX Plus 2026 SUV (Used),Petrol,1000,Registered (Used),Automatic,"Rs. 11,750,000",Dehiwala-Mount-Lavinia,"3,100 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","KIA SONET GTX + 2026 BRAND NEW
COLOUR - Glacier White
Registered CBW-****
Still like brand new

- 1000 cc, 3-cylinder turbocharged petrol (1.0 Turbo)
- 360' Camera
- ⁠Electric Sunroof
- BOSE sound system
- ⁠Wireless Charging 
- ⁠Ventilated Seats 
- Electric seats
- ⁠Interior Illumination Lights Multi Colour
- ⁠3 Driving Modes
- ⁠Digital Instrument Cluster 
- Smart Cruise Control 
- Lane Keep Assist 
- 5-passenger capacity
- 7-speed Dual-Clutch Automatic (DCT)
- 16-inch alloy wheels
- Automatic climate control
- Rear AC vents
- Air Purifier 
- Multi-function steering wheel
- Power windows & power steering
- Touchscreen infotainment with Apple CarPlay & Android
Auto
- LED headlamps & DRLs
- Sporty design with bold front grille
- 6 airbags (front, side, curtain)
- ESC (Electronic Stability Control)
- VSM (Vehicle Stability Management)
- Hill-Assist Control (HAC)
- ⁠Traction Control 
- ABS with EBD & Brake Assist
- Front & rear parking sensors
- ⁠Spare Wheel 

Under Mag City warranty for 3years Engine and Gear box
2 Free services left",https://riyasewana.com/buy/kia-sonet-gtx-sale-dehiwala-mount-lavinia-11663940
Mahindra,SUV,Mahindra KUV 100 2021 SUV (Used),Petrol,1200,Registered (Used),Manual,"Rs. 5,490,000",Panadura,"46,800 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Showroom condition
1st Owner
MFY 2021
Reg 2021
All documents very clear
All services done up to date
Good setup available
Reverse cam and sensors available
Urgent sell due to buy new electric vehicle
Top condition vehicle for personal use
Fuel out of Colombo 20km per liter
Within town area 16km
Full service done before week
2 new tyres replaced front
Back tyres 50% available
Immediate sale best last offer tomorrow.",https://riyasewana.com/buy/mahindra-kuv-100-sale-panadura-11663932
Toyota,SUV,Toyota Raize Z Grade 1 2cc 2023 SUV Unregistered (Recondition),Petrol,1200,Unregistered (Recondition),Automatic,"Rs. 12,925,000",Kurunegala,"4,346 km",[],"🚗Toyota Raize Z Grade 2023
     070 492 3056

❇️Millage Just 4346 KM
❇️1.2 CC Petrol
❇️Year 2023 Manufacturer
❇️Black
❇️Black & Red Lines Twotone Interior
❇️Automatic Transmission
❇️1200cc Engine Capacity
❇️Driver Seat Airbag /Passenger Seat Airbag /Side Airbag
❇️Safety Auto Breaking System
❇️Auto Brake Hold
❇️Premium Surround Sound System
❇️ABS
❇️Air Conditioner
❇️Anti-theft Devicer
❇️Idling Stop
❇️USB /HDMI Input Terminal
❇️Bluetooth Connection
❇️Electric Retractable Mirror
❇️TV /TV (full segment)
❇️Alloy Wheel 17 inch
❇️Both Driver Door Passenger Door Keyless Entry
❇️LED Headlamp A LED Fog lamp
❇️LED Day Running Lights
❇️Smart Key
❇️Driver / Passenger Seat Heater
❇️Company Fitted Apple Car Player
❇️Premium Surrounding 4 Way Camera
❇️Guide line Back Camera
❇️Company Fitted Dash Board Camara
❇️Blindspot Monitor A Lane Keep Assist
❇️Collision Safety Body
❇️Collision Damage Reduction
❇️Clearance Sonar
❇️Automatic High Beam
❇️Auto Light",https://riyasewana.com/buy/toyota-raize-z-sale-kurunegala-11616035
DFSK,SUV,DFSK Glory I-Auto 2022 SUV (Used),Petrol,1500,Registered (Used),Automatic,"Rs. 10,600,000",Kotte,"36,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","36000km
1st owner 
Company maintained 
Sun roof with brand new condition 
Fully company maintained

10.6 Million 
Price can be negotiate after inspection",https://riyasewana.com/buy/dfsk-glory-i-auto-sale-kotte-11663914
Toyota,SUV,Toyota Land Cruiser Prado 2018 SUV (Used),Diesel,2800,Registered (Used),Automatic,Negotiable,Colombo,"16,000 km","[""AIR CONDITION"", ""POWER STEERING"", ""POWER MIRROR"", ""POWER WINDOW""]","Toyota Land Cruiser Prado TX-L 2018/2018 
 Diesel 
TRANSFERABLE 
1ST OWNER 
HOME USE
DUAL A/C
LEATHER ELECTRIC SEATS Both WITH HEAT&COOL
SUNROOF 
14 SPEAKERS ORIGINAL PLAYER WITH MULTI TERRAIN MONITORING SYSTEM 
REAR DIFF LOCK
360 view Cameras 
ABS WITH EBD
RAIN SENSOR WIPER
AUTO HEAD LAMP WITH AUTO LEVELING 
AUTO LO HI BEAM
RDAPTIVE CRUISE CONTROL 
AUTO BRAKE
3RD ROW ELECTRIC 
Original Carpets
Original Door Moldings
Original welcome Lamps
MANY MORE OPTIONS 

****EMISSION TEST REPORTS AVAILABLE ****",https://riyasewana.com/buy/toyota-land-cruiser-sale-colombo-11663904
